,gameId,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,preSnapHomeScore,preSnapVisitorScore,passResult,penaltyYards,prePenaltyPlayResult,playResult,absoluteYardlineNumber,offenseFormation,personnelO,defendersInBox,personnelD,dropBackType,pff_playAction,pff_passCoverage,pff_passCoverageType,Inj_Occured,foul_on_play,frac_quarter_elapsed
0,2021090900,1,3,2,TB,DAL,TB,33,0,0,I,0.0,0,0,43.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Cover-1,Man,0,0,0.09999999999999998
2,2021090900,1,2,6,DAL,TB,DAL,34,0,0,C,0.0,5,5,76.0,SHOTGUN,"0 RB, 2 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0,Cover-3,Zone,0,0,0.17000000000000004
3,2021090900,1,1,10,DAL,TB,TB,39,0,0,I,0.0,0,0,49.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,1,Cover-3,Zone,0,0,0.33999999999999997
4,2021090900,1,3,15,DAL,TB,TB,44,0,0,I,0.0,0,0,54.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,0,Cover-3,Zone,0,0,0.35
5,2021090900,1,2,5,TB,DAL,TB,11,0,0,C,0.0,10,10,21.0,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Cover-1,Man,0,0,0.41000000000000003
6,2021090900,1,1,10,TB,DAL,TB,21,0,0,I,0.0,0,0,31.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Cover-3,Zone,0,0,0.43999999999999995
7,2021090900,1,2,10,TB,DAL,TB,21,0,0,C,0.0,19,19,31.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Cover-6,Zone,0,0,0.43999999999999995
8,2021090900,1,1,10,TB,DAL,TB,40,0,0,C,0.0,28,28,50.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Cover-3,Zone,0,0,0.47
9,2021090900,1,1,10,TB,DAL,DAL,32,0,0,C,0.0,16,16,78.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Quarters,Zone,0,0,0.5
10,2021090900,1,2,7,TB,DAL,DAL,13,0,0,C,0.0,8,8,97.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0,Quarters,Zone,0,0,0.5900000000000001
11,2021090900,1,1,5,TB,DAL,DAL,5,0,0,C,0.0,5,5,105.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,1,Cover-1,Man,0,0,0.64
12,2021090900,1,2,2,DAL,TB,DAL,44,7,0,C,0.0,12,12,66.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,0,Cover-1,Man,0,0,0.72
13,2021090900,1,2,3,DAL,TB,TB,37,7,0,C,0.0,8,8,47.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",SCRAMBLE_ROLLOUT_RIGHT,1,Cover-2,Zone,0,0,0.8200000000000001
